Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.7647   -1148.0324       0.2677  2071.0
0.1000       -1147.5714   -1147.8062       0.2347  1816.1
0.2000       -1147.5555   -1147.7471       0.1915  1481.9
0.3000       -1147.3574   -1147.7199       0.3625  2804.6
0.4000       -1147.5181   -1147.8378       0.3198  2473.8
0.5000       -1147.4434   -1147.7413       0.2979  2304.7
0.6000       -1147.4480   -1147.7077       0.2597  2009.1
0.7000       -1147.4938   -1147.7550       0.2613  2021.4
0.8000       -1147.4844   -1147.7749       0.2905  2247.4
0.9000       -1147.5070   -1147.8364       0.3294  2548.7
1.0000       -1147.5731   -1147.7675       0.1944  1504.0
1.1000       -1147.5947   -1147.8530       0.2583  1998.1
1.2000       -1147.5803   -1147.7622       0.1819  1407.2
1.3000       -1147.5600   -1147.7918       0.2318  1793.2
1.4000       -1147.4837   -1147.7736       0.2898  2242.2
1.5000       -1147.4721   -1147.7505       0.2784  2153.6
1.6000       -1147.4489   -1147.6625       0.2136  1652.6
1.7000       -1147.4050   -1147.6350       0.2300  1779.3
1.8000       -1147.5301   -1147.8002       0.2701  2089.5
1.9000       -1147.5670   -1147.8347       0.2677  2070.8
2.0000       -1147.5506   -1147.8034       0.2528  1955.8
2.1000       -1147.5553   -1147.7859       0.2306  1784.1
2.2000       -1147.5761   -1147.8412       0.2651  2050.8
2.3000       -1147.4881   -1147.7736       0.2855  2208.4
2.4000       -1147.4702   -1147.7690       0.2989  2312.4
2.5000       -1147.4195   -1147.7312       0.3117  2411.1
2.6000       -1147.5923   -1147.8679       0.2756  2131.9
2.7000       -1147.4985   -1147.7406       0.2421  1873.2
2.8000       -1147.4779   -1147.7921       0.3142  2430.8
2.9000       -1147.4971   -1147.7455       0.2485  1922.2
3.0000       -1147.4559   -1147.7308       0.2749  2126.6
3.1000       -1147.4624   -1147.7688       0.3064  2370.8
3.2000       -1147.3868   -1147.6538       0.2671  2066.0
3.3000       -1147.4884   -1147.7519       0.2635  2038.7
3.4000       -1147.5526   -1147.8318       0.2792  2160.0
3.5000       -1147.5388   -1147.7670       0.2281  1764.8
3.6000       -1147.4602   -1147.7287       0.2685  2076.9
3.7000       -1147.5449   -1147.7467       0.2018  1561.2
3.8000       -1147.5485   -1147.8099       0.2613  2021.8
3.9000       -1147.5252   -1147.7835       0.2582  1997.9
4.0000       -1147.4300   -1147.7243       0.2943  2276.6
4.1000       -1147.4884   -1147.7598       0.2714  2099.7
4.2000       -1147.4072   -1147.7316       0.3244  2509.6
4.3000       -1147.2760   -1147.6469       0.3709  2869.4
4.4000       -1147.4024   -1147.7551       0.3527  2728.7
4.5000       -1147.5010   -1147.7569       0.2559  1979.9
4.6000       -1147.5252   -1147.8052       0.2800  2166.4
4.7000       -1147.5114   -1147.7891       0.2777  2148.7
4.8000       -1147.4825   -1147.7677       0.2852  2206.4
4.9000       -1147.4759   -1147.7675       0.2916  2256.2
5.0000       -1147.4360   -1147.7000       0.2640  2042.8
5.1000       -1147.3902   -1147.7544       0.3642  2817.8
5.2000       -1147.2771   -1147.5170       0.2398  1855.4
5.3000       -1147.3714   -1147.6389       0.2675  2069.7
5.4000       -1147.5028   -1147.7150       0.2122  1641.4
5.5000       -1147.4983   -1147.7095       0.2113  1634.5
5.6000       -1147.4182   -1147.6544       0.2362  1827.4
5.7000       -1147.3422   -1147.6467       0.3044  2355.2
5.8000       -1147.3579   -1147.6323       0.2743  2122.4
5.9000       -1147.4176   -1147.7368       0.3192  2469.3
6.0000       -1147.4698   -1147.6765       0.2068  1599.5
6.1000       -1147.3591   -1147.7076       0.3485  2696.4
6.2000       -1147.4730   -1147.7231       0.2502  1935.6
6.3000       -1147.4011   -1147.7542       0.3531  2731.8
6.4000       -1147.4292   -1147.6753       0.2461  1904.0
6.5000       -1147.4267   -1147.7361       0.3094  2393.6
6.6000       -1147.5179   -1147.8179       0.3000  2321.0
6.7000       -1147.5391   -1147.8071       0.2681  2074.0
6.8000       -1147.4525   -1147.7600       0.3074  2378.5
6.9000       -1147.4784   -1147.7875       0.3091  2391.5
7.0000       -1147.4117   -1147.6918       0.2801  2167.2
7.1000       -1147.4082   -1147.8150       0.4068  3147.3
7.2000       -1147.4991   -1147.7864       0.2872  2222.1
7.3000       -1147.4330   -1147.7502       0.3172  2454.3
7.4000       -1147.4296   -1147.7653       0.3357  2597.1
7.5000       -1147.4667   -1147.7890       0.3222  2493.0
7.6000       -1147.4496   -1147.7668       0.3173  2454.4
7.7000       -1147.3832   -1147.7834       0.4002  3095.9
7.8000       -1147.5570   -1147.8055       0.2485  1922.6
7.9000       -1147.4957   -1147.7483       0.2526  1954.1
8.0000       -1147.5597   -1147.7831       0.2234  1728.2
8.1000       -1147.5468   -1147.7256       0.1788  1383.6
8.2000       -1147.5249   -1147.7916       0.2667  2063.4
8.3000       -1147.5015   -1147.7259       0.2243  1735.4
8.4000       -1147.4996   -1147.7512       0.2516  1946.5
8.5000       -1147.5037   -1147.7095       0.2057  1591.7
8.6000       -1147.4368   -1147.7341       0.2973  2299.9
8.7000       -1147.4961   -1147.8137       0.3176  2457.0
8.8000       -1147.4002   -1147.7038       0.3035  2348.0
8.9000       -1147.5079   -1147.7910       0.2831  2190.1
9.0000       -1147.5645   -1147.7918       0.2273  1758.2
9.1000       -1147.3529   -1147.7740       0.4212  3258.4
9.2000       -1147.5624   -1147.8045       0.2421  1873.2
9.3000       -1147.5160   -1147.7588       0.2428  1878.3
9.4000       -1147.4528   -1147.7194       0.2666  2062.3
9.5000       -1147.4731   -1147.7498       0.2767  2140.4
9.6000       -1147.5022   -1147.8059       0.3036  2348.8
9.7000       -1147.4267   -1147.7245       0.2978  2304.0
9.8000       -1147.5448   -1147.7757       0.2309  1786.3
9.9000       -1147.5670   -1147.8279       0.2608  2017.8
10.0000      -1147.5424   -1147.7208       0.1784  1380.1
10.1000      -1147.4381   -1147.7621       0.3241  2507.0
10.2000      -1147.5355   -1147.7883       0.2528  1955.9
10.3000      -1147.5846   -1147.7784       0.1937  1498.8
10.4000      -1147.5197   -1147.7934       0.2737  2117.2
10.5000      -1147.4680   -1147.7341       0.2661  2058.5
10.6000      -1147.4996   -1147.7338       0.2342  1812.2
10.7000      -1147.5352   -1147.7975       0.2622  2028.7
10.8000      -1147.6105   -1147.8036       0.1931  1493.7
10.9000      -1147.5061   -1147.8076       0.3015  2332.4
11.0000      -1147.4053   -1147.7339       0.3286  2541.8
11.1000      -1147.5165   -1147.7861       0.2696  2085.4
11.2000      -1147.5669   -1147.8164       0.2496  1930.7
11.3000      -1147.5239   -1147.7642       0.2403  1859.1
11.4000      -1147.4674   -1147.7556       0.2881  2229.1
11.5000      -1147.5388   -1147.7686       0.2298  1777.5
11.6000      -1147.4903   -1147.7398       0.2495  1930.0
11.7000      -1147.4598   -1147.7855       0.3256  2519.1
11.8000      -1147.5108   -1147.7476       0.2367  1831.4
11.9000      -1147.4410   -1147.7574       0.3163  2447.2
12.0000      -1147.4602   -1147.7248       0.2646  2047.4
12.1000      -1147.5041   -1147.8270       0.3229  2498.0
12.2000      -1147.5080   -1147.7988       0.2908  2249.9
12.3000      -1147.4528   -1147.6934       0.2405  1860.8
12.4000      -1147.5256   -1147.7967       0.2711  2097.3
12.5000      -1147.6140   -1147.8703       0.2563  1982.6
12.6000      -1147.5705   -1147.8411       0.2706  2093.3
12.7000      -1147.5616   -1147.8135       0.2519  1948.9
12.8000      -1147.4878   -1147.7344       0.2466  1907.7
12.9000      -1147.5316   -1147.7922       0.2606  2015.7
13.0000      -1147.5856   -1147.7725       0.1869  1445.9
13.1000      -1147.4846   -1147.7850       0.3005  2324.5
13.2000      -1147.4491   -1147.7128       0.2637  2040.0
13.3000      -1147.4152   -1147.7435       0.3282  2539.4
13.4000      -1147.5355   -1147.7026       0.1671  1292.4
13.5000      -1147.6385   -1147.8307       0.1922  1486.9
13.6000      -1147.5659   -1147.7899       0.2240  1732.9
13.7000      -1147.5982   -1147.8658       0.2676  2070.2
13.8000      -1147.5526   -1147.8229       0.2703  2091.3
13.9000      -1147.4851   -1147.7124       0.2273  1758.6
14.0000      -1147.5845   -1147.8604       0.2759  2134.3
14.1000      -1147.4806   -1147.7252       0.2446  1892.6
14.2000      -1147.4420   -1147.8021       0.3601  2785.6
14.3000      -1147.6131   -1147.8479       0.2348  1816.9
14.4000      -1147.5829   -1147.7899       0.2070  1601.4
14.5000      -1147.5485   -1147.7870       0.2385  1845.1
14.6000      -1147.5821   -1147.8062       0.2240  1733.1
14.7000      -1147.5158   -1147.7579       0.2420  1872.5
14.8000      -1147.5840   -1147.8218       0.2378  1840.1
14.9000      -1147.5613   -1147.8056       0.2443  1890.0
15.0000      -1147.5026   -1147.7984       0.2957  2287.9
15.1000      -1147.3746   -1147.7086       0.3340  2583.8
