Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8467   -1148.0324       0.1857  1436.6
0.1000       -1147.6496   -1147.8219       0.1723  1332.7
0.2000       -1147.6203   -1147.8227       0.2024  1565.9
0.3000       -1147.6264   -1147.8176       0.1911  1478.7
0.4000       -1147.6198   -1147.8262       0.2064  1596.6
0.5000       -1147.6488   -1147.8212       0.1724  1333.8
0.6000       -1147.6126   -1147.8123       0.1997  1544.7
0.7000       -1147.5172   -1147.7951       0.2779  2150.3
0.8000       -1147.5695   -1147.7821       0.2126  1644.8
0.9000       -1147.5914   -1147.7531       0.1617  1250.8
1.0000       -1147.5801   -1147.8135       0.2334  1805.7
1.1000       -1147.5353   -1147.7822       0.2469  1910.4
1.2000       -1147.5627   -1147.8033       0.2407  1861.8
1.3000       -1147.6376   -1147.8220       0.1844  1426.7
1.4000       -1147.5805   -1147.7584       0.1780  1377.0
1.5000       -1147.5706   -1147.7620       0.1914  1480.8
1.6000       -1147.6291   -1147.8032       0.1741  1346.7
1.7000       -1147.5128   -1147.8168       0.3041  2352.4
1.8000       -1147.5355   -1147.7791       0.2437  1885.0
1.9000       -1147.5388   -1147.7686       0.2298  1778.2
2.0000       -1147.5238   -1147.7566       0.2328  1801.4
2.1000       -1147.5368   -1147.8334       0.2967  2295.0
2.2000       -1147.6912   -1147.8459       0.1547  1196.8
2.3000       -1147.6813   -1147.8614       0.1802  1393.9
2.4000       -1147.6009   -1147.7892       0.1883  1456.8
2.5000       -1147.5709   -1147.7745       0.2036  1575.1
2.6000       -1147.5318   -1147.7515       0.2197  1699.8
2.7000       -1147.6973   -1147.8737       0.1764  1364.5
2.8000       -1147.6835   -1147.8247       0.1412  1092.3
2.9000       -1147.6528   -1147.8176       0.1647  1274.5
3.0000       -1147.5914   -1147.8207       0.2293  1773.9
3.1000       -1147.5830   -1147.8010       0.2179  1686.0
3.2000       -1147.6354   -1147.8542       0.2188  1692.7
3.3000       -1147.5961   -1147.7900       0.1939  1500.3
3.4000       -1147.6312   -1147.8357       0.2044  1581.7
3.5000       -1147.6362   -1147.8520       0.2158  1669.5
3.6000       -1147.5522   -1147.7933       0.2411  1865.5
3.7000       -1147.5573   -1147.7791       0.2218  1716.1
3.8000       -1147.5865   -1147.8270       0.2406  1861.1
3.9000       -1147.5084   -1147.7766       0.2682  2075.0
4.0000       -1147.5068   -1147.7190       0.2123  1642.2
4.1000       -1147.5830   -1147.8686       0.2856  2209.9
4.2000       -1147.6187   -1147.8526       0.2339  1809.8
4.3000       -1147.6001   -1147.8120       0.2119  1639.4
4.4000       -1147.5245   -1147.7562       0.2317  1792.7
4.5000       -1147.6265   -1147.8002       0.1736  1343.3
4.6000       -1147.6628   -1147.8722       0.2094  1620.3
4.7000       -1147.6907   -1147.8847       0.1941  1501.3
4.8000       -1147.5889   -1147.8247       0.2358  1824.5
4.9000       -1147.6517   -1147.8729       0.2213  1711.7
5.0000       -1147.6037   -1147.7822       0.1785  1380.9
5.1000       -1147.6093   -1147.8367       0.2273  1758.8
5.2000       -1147.5803   -1147.8024       0.2221  1718.3
5.3000       -1147.4632   -1147.7730       0.3098  2396.3
5.4000       -1147.5850   -1147.7492       0.1642  1270.3
5.5000       -1147.5376   -1147.7719       0.2344  1813.2
5.6000       -1147.5305   -1147.7466       0.2161  1671.9
5.7000       -1147.5187   -1147.7847       0.2660  2057.6
5.8000       -1147.6052   -1147.8079       0.2027  1567.9
5.9000       -1147.5539   -1147.8008       0.2469  1910.1
6.0000       -1147.6240   -1147.8120       0.1881  1455.1
6.1000       -1147.6182   -1147.7976       0.1794  1387.8
6.2000       -1147.6027   -1147.8323       0.2296  1776.2
6.3000       -1147.6553   -1147.8570       0.2016  1560.0
6.4000       -1147.6455   -1147.8306       0.1851  1431.8
6.5000       -1147.6584   -1147.8550       0.1966  1520.7
6.6000       -1147.6258   -1147.8276       0.2018  1561.1
6.7000       -1147.5275   -1147.7791       0.2516  1946.7
6.8000       -1147.5947   -1147.8060       0.2113  1634.3
6.9000       -1147.5745   -1147.8568       0.2823  2184.0
7.0000       -1147.5200   -1147.7862       0.2661  2058.9
7.1000       -1147.5473   -1147.7608       0.2135  1651.9
7.2000       -1147.5342   -1147.7493       0.2151  1664.0
7.3000       -1147.5633   -1147.7729       0.2097  1622.0
7.4000       -1147.4788   -1147.7581       0.2793  2160.7
7.5000       -1147.6491   -1147.8334       0.1843  1425.5
7.6000       -1147.5532   -1147.8356       0.2824  2184.6
7.7000       -1147.6167   -1147.8590       0.2423  1874.2
7.8000       -1147.6593   -1147.8591       0.1998  1545.4
7.9000       -1147.6441   -1147.8177       0.1736  1343.0
8.0000       -1147.6499   -1147.8388       0.1889  1461.1
8.1000       -1147.5799   -1147.7987       0.2188  1692.6
8.2000       -1147.6128   -1147.8226       0.2098  1623.3
8.3000       -1147.4936   -1147.7855       0.2920  2258.7
8.4000       -1147.5828   -1147.8313       0.2486  1923.0
8.5000       -1147.6208   -1147.8386       0.2179  1685.6
8.6000       -1147.6377   -1147.7780       0.1403  1085.6
8.7000       -1147.5698   -1147.8031       0.2333  1804.9
8.8000       -1147.4768   -1147.7591       0.2823  2183.9
8.9000       -1147.6760   -1147.8433       0.1673  1294.5
9.0000       -1147.6206   -1147.8730       0.2523  1952.2
9.1000       -1147.5546   -1147.7957       0.2411  1865.2
9.2000       -1147.5645   -1147.7877       0.2232  1726.4
9.3000       -1147.5974   -1147.8297       0.2323  1797.0
9.4000       -1147.6577   -1147.7952       0.1375  1063.7
9.5000       -1147.5822   -1147.8021       0.2199  1701.4
9.6000       -1147.6661   -1147.8597       0.1936  1497.6
9.7000       -1147.6452   -1147.8601       0.2149  1662.4
9.8000       -1147.6504   -1147.8727       0.2222  1719.3
9.9000       -1147.6671   -1147.8242       0.1570  1214.8
10.0000      -1147.5887   -1147.8568       0.2680  2073.6
10.1000      -1147.6153   -1147.8232       0.2079  1608.2
10.2000      -1147.5954   -1147.8062       0.2107  1630.3
10.3000      -1147.6248   -1147.8379       0.2131  1648.6
10.4000      -1147.6895   -1147.8217       0.1322  1022.9
10.5000      -1147.5263   -1147.7755       0.2492  1927.7
10.6000      -1147.5325   -1147.7153       0.1827  1413.8
10.7000      -1147.5949   -1147.8104       0.2154  1666.7
10.8000      -1147.6262   -1147.8247       0.1985  1535.6
10.9000      -1147.5906   -1147.7705       0.1799  1392.1
11.0000      -1147.6130   -1147.8440       0.2310  1787.4
11.1000      -1147.5899   -1147.8017       0.2118  1638.4
11.2000      -1147.6166   -1147.8408       0.2242  1734.6
11.3000      -1147.5330   -1147.7844       0.2514  1945.3
11.4000      -1147.5353   -1147.7661       0.2308  1785.4
11.5000      -1147.5565   -1147.7921       0.2355  1822.1
11.6000      -1147.5863   -1147.8411       0.2547  1970.7
11.7000      -1147.5986   -1147.8866       0.2881  2228.6
11.8000      -1147.6476   -1147.8163       0.1686  1304.7
11.9000      -1147.6230   -1147.8049       0.1818  1406.7
12.0000      -1147.6234   -1147.8021       0.1787  1382.1
12.1000      -1147.6355   -1147.8445       0.2090  1616.6
12.2000      -1147.7246   -1147.8917       0.1670  1292.4
12.3000      -1147.6073   -1147.7496       0.1422  1100.3
12.4000      -1147.6430   -1147.8369       0.1940  1500.6
12.5000      -1147.5968   -1147.8019       0.2051  1587.1
12.6000      -1147.5378   -1147.8024       0.2646  2047.2
12.7000      -1147.5670   -1147.7783       0.2113  1634.5
12.8000      -1147.6215   -1147.7925       0.1710  1322.6
12.9000      -1147.7202   -1147.8767       0.1565  1210.5
13.0000      -1147.6409   -1147.8464       0.2055  1589.5
13.1000      -1147.6106   -1147.8378       0.2272  1757.8
13.2000      -1147.6475   -1147.8705       0.2230  1725.2
13.3000      -1147.6032   -1147.8074       0.2043  1580.2
13.4000      -1147.5888   -1147.7624       0.1736  1342.9
13.5000      -1147.5742   -1147.8125       0.2383  1843.8
13.6000      -1147.5465   -1147.7634       0.2169  1678.3
13.7000      -1147.5218   -1147.7756       0.2538  1963.7
13.8000      -1147.4816   -1147.7480       0.2665  2061.4
13.9000      -1147.4658   -1147.7168       0.2511  1942.2
14.0000      -1147.5410   -1147.8396       0.2985  2309.6
14.1000      -1147.5755   -1147.8092       0.2337  1808.1
14.2000      -1147.5885   -1147.7827       0.1941  1502.0
14.3000      -1147.5567   -1147.7731       0.2164  1673.8
14.4000      -1147.6688   -1147.8553       0.1864  1442.4
14.5000      -1147.5303   -1147.7455       0.2152  1665.1
14.6000      -1147.5458   -1147.7993       0.2534  1960.7
14.7000      -1147.5247   -1147.7902       0.2655  2054.1
14.8000      -1147.6609   -1147.8920       0.2311  1787.7
14.9000      -1147.5642   -1147.7623       0.1981  1532.5
15.0000      -1147.6287   -1147.8058       0.1771  1370.0
15.1000      -1147.6232   -1147.8172       0.1940  1501.0
15.2000      -1147.6155   -1147.8404       0.2249  1739.5
15.3000      -1147.5872   -1147.7941       0.2070  1601.1
15.4000      -1147.6359   -1147.8765       0.2406  1861.7
15.5000      -1147.5947   -1147.8213       0.2266  1752.9
15.6000      -1147.5955   -1147.7969       0.2014  1558.0
15.7000      -1147.6112   -1147.8431       0.2320  1794.5
15.8000      -1147.6566   -1147.8554       0.1988  1537.6
15.9000      -1147.5553   -1147.7803       0.2249  1740.1
16.0000      -1147.5449   -1147.7696       0.2248  1739.0
16.1000      -1147.5849   -1147.7694       0.1846  1428.0
16.2000      -1147.5852   -1147.8545       0.2693  2083.6
16.3000      -1147.5730   -1147.7658       0.1929  1492.1
16.4000      -1147.6195   -1147.8125       0.1930  1492.9
16.5000      -1147.6161   -1147.8169       0.2008  1553.1
16.6000      -1147.6284   -1147.8391       0.2107  1629.8
16.7000      -1147.6078   -1147.8136       0.2058  1592.1
16.8000      -1147.6011   -1147.8156       0.2146  1659.9
16.9000      -1147.5788   -1147.7632       0.1844  1426.4
17.0000      -1147.5988   -1147.8105       0.2118  1638.5
17.1000      -1147.5791   -1147.8502       0.2711  2097.0
17.2000      -1147.5775   -1147.8184       0.2409  1863.4
17.3000      -1147.5668   -1147.8302       0.2634  2037.9
17.4000      -1147.6021   -1147.8055       0.2034  1573.8
17.5000      -1147.5820   -1147.8468       0.2647  2048.0
17.6000      -1147.6882   -1147.8829       0.1947  1506.3
17.7000      -1147.6912   -1147.8508       0.1597  1235.3
17.8000      -1147.6493   -1147.8254       0.1761  1362.5
17.9000      -1147.6776   -1147.8766       0.1989  1539.1
18.0000      -1147.6098   -1147.8406       0.2308  1785.6
18.1000      -1147.6350   -1147.8348       0.1997  1545.2
18.2000      -1147.5925   -1147.8612       0.2687  2078.5
18.3000      -1147.5567   -1147.8131       0.2564  1983.5
18.4000      -1147.6156   -1147.7748       0.1592  1231.6
18.5000      -1147.6551   -1147.8465       0.1914  1480.5
18.6000      -1147.5048   -1147.7849       0.2801  2166.7
