Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8512   -1148.0275       0.1763  1364.0
0.1000       -1147.6915   -1147.8705       0.1789  1384.3
0.2000       -1147.6525   -1147.8397       0.1872  1448.6
0.3000       -1147.6842   -1147.8527       0.1685  1303.7
0.4000       -1147.6167   -1147.8321       0.2154  1666.6
0.5000       -1147.6220   -1147.8539       0.2318  1793.4
0.6000       -1147.6011   -1147.8461       0.2449  1894.9
0.7000       -1147.6540   -1147.8473       0.1932  1494.9
0.8000       -1147.6598   -1147.8538       0.1940  1501.1
0.9000       -1147.6659   -1147.8518       0.1859  1438.3
1.0000       -1147.6401   -1147.8575       0.2174  1681.7
1.1000       -1147.6133   -1147.8240       0.2107  1630.4
1.2000       -1147.5776   -1147.8236       0.2461  1903.7
1.3000       -1147.5996   -1147.8007       0.2011  1555.7
1.4000       -1147.6217   -1147.8501       0.2284  1766.9
1.5000       -1147.5956   -1147.8401       0.2445  1891.5
1.6000       -1147.5698   -1147.8165       0.2467  1908.9
1.7000       -1147.6213   -1147.8396       0.2183  1689.2
1.8000       -1147.6513   -1147.8702       0.2189  1693.7
1.9000       -1147.6591   -1147.8619       0.2028  1569.2
2.0000       -1147.6266   -1147.8522       0.2255  1744.9
2.1000       -1147.6371   -1147.8369       0.1998  1545.8
2.2000       -1147.6897   -1147.8748       0.1852  1432.4
2.3000       -1147.6634   -1147.8649       0.2016  1559.3
2.4000       -1147.6456   -1147.8383       0.1927  1490.9
2.5000       -1147.6077   -1147.8230       0.2153  1665.4
2.6000       -1147.6679   -1147.8701       0.2022  1564.1
2.7000       -1147.6744   -1147.8514       0.1769  1368.8
2.8000       -1147.6633   -1147.8453       0.1820  1407.9
2.9000       -1147.6495   -1147.8754       0.2259  1747.6
3.0000       -1147.6567   -1147.8611       0.2044  1581.3
3.1000       -1147.5971   -1147.7968       0.1997  1544.7
3.2000       -1147.6433   -1147.8445       0.2013  1557.2
3.3000       -1147.6725   -1147.8436       0.1711  1323.4
3.4000       -1147.6612   -1147.8858       0.2246  1737.6
3.5000       -1147.6538   -1147.8434       0.1896  1467.1
3.6000       -1147.6346   -1147.8422       0.2076  1606.2
3.7000       -1147.5955   -1147.8096       0.2141  1656.5
3.8000       -1147.6033   -1147.8516       0.2483  1920.6
3.9000       -1147.6117   -1147.8436       0.2319  1793.8
4.0000       -1147.6221   -1147.8397       0.2176  1683.7
4.1000       -1147.6549   -1147.8472       0.1924  1488.1
4.2000       -1147.6243   -1147.8361       0.2118  1638.4
4.3000       -1147.6382   -1147.8711       0.2329  1801.9
4.4000       -1147.6783   -1147.8940       0.2157  1669.0
4.5000       -1147.6670   -1147.8561       0.1891  1463.3
4.6000       -1147.6633   -1147.8738       0.2104  1628.1
4.7000       -1147.6606   -1147.8477       0.1871  1447.2
4.8000       -1147.6482   -1147.8287       0.1805  1396.4
4.9000       -1147.6663   -1147.8827       0.2164  1674.1
5.0000       -1147.6271   -1147.8607       0.2336  1807.0
5.1000       -1147.6627   -1147.8819       0.2191  1695.4
5.2000       -1147.6573   -1147.8594       0.2021  1563.5
5.3000       -1147.6636   -1147.8660       0.2024  1565.9
5.4000       -1147.6490   -1147.8284       0.1794  1387.9
5.5000       -1147.6508   -1147.8688       0.2179  1686.1
5.6000       -1147.6335   -1147.8479       0.2144  1658.5
5.7000       -1147.6820   -1147.8598       0.1778  1375.6
5.8000       -1147.6632   -1147.8818       0.2186  1690.9
5.9000       -1147.6538   -1147.8529       0.1992  1541.0
6.0000       -1147.6644   -1147.8685       0.2042  1579.5
6.1000       -1147.6414   -1147.8374       0.1960  1516.2
6.2000       -1147.6416   -1147.8646       0.2229  1724.7
6.3000       -1147.6233   -1147.8335       0.2101  1625.7
6.4000       -1147.6579   -1147.8714       0.2135  1652.0
6.5000       -1147.6572   -1147.8631       0.2060  1593.4
6.6000       -1147.6748   -1147.8631       0.1883  1456.6
6.7000       -1147.6576   -1147.8583       0.2007  1552.5
6.8000       -1147.6363   -1147.8524       0.2161  1672.0
6.9000       -1147.6115   -1147.8319       0.2204  1705.0
7.0000       -1147.6015   -1147.8258       0.2244  1735.7
7.1000       -1147.6159   -1147.8330       0.2171  1679.2
7.2000       -1147.6452   -1147.8350       0.1898  1468.5
7.3000       -1147.6095   -1147.8342       0.2247  1738.1
7.4000       -1147.6441   -1147.8704       0.2263  1750.7
7.5000       -1147.6668   -1147.8921       0.2253  1743.2
7.6000       -1147.6715   -1147.8925       0.2209  1709.3
7.7000       -1147.6953   -1147.9037       0.2084  1612.1
7.8000       -1147.6910   -1147.8985       0.2075  1605.1
7.9000       -1147.6672   -1147.8714       0.2043  1580.3
8.0000       -1147.7103   -1147.8967       0.1864  1442.3
8.1000       -1147.6448   -1147.8653       0.2205  1706.1
8.2000       -1147.6795   -1147.8889       0.2093  1619.5
8.3000       -1147.6604   -1147.8447       0.1843  1426.0
8.4000       -1147.6296   -1147.8385       0.2088  1615.7
8.5000       -1147.6206   -1147.8430       0.2223  1720.1
8.6000       -1147.6452   -1147.8305       0.1853  1433.6
8.7000       -1147.6160   -1147.8512       0.2352  1819.8
8.8000       -1147.6573   -1147.8746       0.2173  1681.1
8.9000       -1147.6390   -1147.8422       0.2032  1571.8
9.0000       -1147.7092   -1147.8790       0.1698  1313.8
9.1000       -1147.6763   -1147.8845       0.2082  1610.3
9.2000       -1147.5923   -1147.8283       0.2360  1825.9
9.3000       -1147.5627   -1147.8117       0.2490  1926.6
9.4000       -1147.6269   -1147.8447       0.2178  1685.1
9.5000       -1147.6409   -1147.8408       0.1999  1546.4
9.6000       -1147.6322   -1147.8432       0.2110  1632.4
9.7000       -1147.6112   -1147.7989       0.1878  1452.7
9.8000       -1147.6366   -1147.8646       0.2280  1763.6
9.9000       -1147.6100   -1147.8105       0.2005  1551.2
10.0000      -1147.6600   -1147.8277       0.1677  1297.5
10.1000      -1147.6554   -1147.8590       0.2036  1574.9
10.2000      -1147.6573   -1147.8685       0.2112  1633.7
10.3000      -1147.6862   -1147.8598       0.1736  1342.8
10.4000      -1147.6509   -1147.8636       0.2127  1645.5
10.5000      -1147.6263   -1147.8403       0.2140  1655.8
10.6000      -1147.6230   -1147.8313       0.2083  1611.6
10.7000      -1147.6465   -1147.8583       0.2118  1638.2
10.8000      -1147.6302   -1147.8437       0.2135  1652.0
10.9000      -1147.6071   -1147.8297       0.2227  1722.5
11.0000      -1147.6384   -1147.8377       0.1992  1541.4
11.1000      -1147.6573   -1147.8393       0.1820  1408.1
11.2000      -1147.6017   -1147.8230       0.2213  1712.1
11.3000      -1147.6207   -1147.8420       0.2212  1711.4
11.4000      -1147.6041   -1147.8085       0.2043  1580.8
11.5000      -1147.6291   -1147.8272       0.1981  1532.5
11.6000      -1147.6222   -1147.8609       0.2387  1846.8
11.7000      -1147.6244   -1147.8205       0.1961  1517.2
11.8000      -1147.6539   -1147.8428       0.1890  1462.1
11.9000      -1147.6510   -1147.8677       0.2167  1676.2
12.0000      -1147.6552   -1147.8730       0.2178  1684.9
12.1000      -1147.6457   -1147.8581       0.2124  1643.5
12.2000      -1147.6182   -1147.8219       0.2037  1575.8
12.3000      -1147.6282   -1147.8041       0.1759  1361.0
12.4000      -1147.6004   -1147.8296       0.2292  1773.2
12.5000      -1147.6040   -1147.8332       0.2292  1773.1
12.6000      -1147.6171   -1147.8444       0.2273  1758.7
12.7000      -1147.6789   -1147.8816       0.2027  1567.9
12.8000      -1147.6808   -1147.8673       0.1865  1442.6
12.9000      -1147.6559   -1147.8576       0.2017  1560.1
13.0000      -1147.6298   -1147.8504       0.2205  1706.1
13.1000      -1147.6648   -1147.8540       0.1892  1464.1
13.2000      -1147.6585   -1147.8632       0.2047  1583.8
13.3000      -1147.6065   -1147.8426       0.2361  1826.7
13.4000      -1147.6263   -1147.8265       0.2001  1548.4
13.5000      -1147.6101   -1147.8154       0.2053  1588.6
13.6000      -1147.6118   -1147.8141       0.2024  1565.5
13.7000      -1147.5740   -1147.8195       0.2454  1898.9
13.8000      -1147.6090   -1147.8305       0.2215  1713.7
13.9000      -1147.6361   -1147.8203       0.1842  1425.4
14.0000      -1147.6694   -1147.8581       0.1887  1459.7
14.1000      -1147.6289   -1147.8430       0.2140  1655.9
14.2000      -1147.6238   -1147.8479       0.2241  1733.9
14.3000      -1147.6435   -1147.8266       0.1831  1416.7
14.4000      -1147.6317   -1147.8401       0.2084  1612.1
14.5000      -1147.6539   -1147.8765       0.2226  1722.4
14.6000      -1147.6667   -1147.8747       0.2080  1609.1
14.7000      -1147.6589   -1147.8774       0.2185  1690.7
14.8000      -1147.6599   -1147.8422       0.1822  1409.7
14.9000      -1147.6399   -1147.8428       0.2029  1569.8
15.0000      -1147.6776   -1147.8609       0.1833  1418.4
15.1000      -1147.6984   -1147.8817       0.1833  1418.2
15.2000      -1147.6559   -1147.8561       0.2001  1548.4
15.3000      -1147.6264   -1147.8364       0.2100  1624.5
15.4000      -1147.6422   -1147.8680       0.2258  1746.5
15.5000      -1147.6164   -1147.8409       0.2245  1736.8
15.6000      -1147.6527   -1147.8753       0.2226  1722.0
15.7000      -1147.6693   -1147.8549       0.1855  1435.5
15.8000      -1147.6528   -1147.8730       0.2202  1703.3
15.9000      -1147.6454   -1147.8595       0.2141  1656.4
16.0000      -1147.6607   -1147.8906       0.2299  1778.4
16.1000      -1147.6724   -1147.8701       0.1977  1529.6
16.2000      -1147.6289   -1147.8519       0.2229  1724.8
16.3000      -1147.6549   -1147.8680       0.2132  1649.1
16.4000      -1147.6773   -1147.8581       0.1807  1398.2
16.5000      -1147.6483   -1147.8521       0.2039  1577.3
16.6000      -1147.6279   -1147.8447       0.2168  1677.3
16.7000      -1147.6235   -1147.8464       0.2229  1724.6
16.8000      -1147.5872   -1147.8059       0.2187  1692.1
16.9000      -1147.6216   -1147.8129       0.1913  1480.3
17.0000      -1147.5610   -1147.8009       0.2399  1855.7
17.1000      -1147.6669   -1147.8664       0.1994  1542.9
17.2000      -1147.6571   -1147.8717       0.2146  1660.2
17.3000      -1147.6277   -1147.8241       0.1964  1519.7
17.4000      -1147.6165   -1147.8280       0.2115  1636.4
17.5000      -1147.6313   -1147.8494       0.2180  1686.9
17.6000      -1147.6285   -1147.8215       0.1930  1492.8
17.7000      -1147.6367   -1147.8369       0.2002  1548.6
17.8000      -1147.6269   -1147.8405       0.2137  1653.0
17.9000      -1147.5966   -1147.8096       0.2130  1647.8
18.0000      -1147.5911   -1147.8122       0.2211  1710.5
18.1000      -1147.6270   -1147.8656       0.2386  1846.3
18.2000      -1147.6840   -1147.8814       0.1975  1527.7
18.3000      -1147.6476   -1147.8397       0.1921  1486.4
18.4000      -1147.6933   -1147.8889       0.1956  1513.5
18.5000      -1147.6276   -1147.8484       0.2208  1708.2
18.6000      -1147.6013   -1147.8196       0.2182  1688.2
18.7000      -1147.6336   -1147.8365       0.2029  1569.9
18.8000      -1147.6377   -1147.8641       0.2265  1752.0
18.9000      -1147.6610   -1147.8707       0.2097  1622.7
19.0000      -1147.6592   -1147.8205       0.1613  1247.9
19.1000      -1147.5885   -1147.8094       0.2209  1709.0
19.2000      -1147.6721   -1147.8690       0.1969  1523.5
19.3000      -1147.6588   -1147.8728       0.2140  1655.5
19.4000      -1147.6437   -1147.8603       0.2166  1675.7
19.5000      -1147.6316   -1147.8454       0.2138  1654.3
19.6000      -1147.6389   -1147.8516       0.2127  1645.4
19.7000      -1147.6426   -1147.8511       0.2085  1612.8
19.8000      -1147.6793   -1147.8803       0.2010  1554.7
19.9000      -1147.6825   -1147.8710       0.1885  1458.0
20.0000      -1147.6362   -1147.8056       0.1694  1310.6
20.1000      -1147.6072   -1147.8382       0.2310  1787.2
20.2000      -1147.6338   -1147.8134       0.1796  1389.4
20.3000      -1147.6326   -1147.8197       0.1871  1447.4
20.4000      -1147.6093   -1147.8374       0.2281  1764.5
20.5000      -1147.6519   -1147.8730       0.2210  1709.9
20.6000      -1147.6442   -1147.8540       0.2098  1623.2
20.7000      -1147.6061   -1147.8415       0.2355  1821.8
20.8000      -1147.6271   -1147.8407       0.2136  1652.1
20.9000      -1147.6756   -1147.8625       0.1869  1445.8
21.0000      -1147.6077   -1147.8434       0.2357  1823.4
21.1000      -1147.6269   -1147.8496       0.2227  1723.2
21.2000      -1147.6355   -1147.8493       0.2138  1653.8
21.3000      -1147.6394   -1147.8320       0.1926  1489.8
21.4000      -1147.6356   -1147.8337       0.1981  1532.8
21.5000      -1147.6176   -1147.8346       0.2170  1678.7
21.6000      -1147.6382   -1147.8583       0.2202  1703.2
21.7000      -1147.6346   -1147.8632       0.2286  1768.7
21.8000      -1147.6245   -1147.8395       0.2150  1663.3
