Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
10.8000      -1147.6658   -1147.8315       0.1657  1282.0
10.9000      -1147.6709   -1147.8358       0.1649  1275.5
11.0000      -1147.6192   -1147.8242       0.2050  1586.0
11.1000      -1147.6415   -1147.8457       0.2041  1579.1
11.2000      -1147.6827   -1147.8781       0.1954  1511.9
11.3000      -1147.6421   -1147.8228       0.1808  1398.4
11.4000      -1147.6437   -1147.8385       0.1948  1506.9
11.5000      -1147.6510   -1147.8315       0.1805  1396.4
11.6000      -1147.6785   -1147.8620       0.1834  1419.2
11.7000      -1147.6651   -1147.8609       0.1958  1514.4
11.8000      -1147.6500   -1147.8436       0.1936  1497.7
11.9000      -1147.7062   -1147.8853       0.1791  1385.5
12.0000      -1147.6964   -1147.8466       0.1502  1162.0
12.1000      -1147.6713   -1147.8479       0.1766  1366.5
12.2000      -1147.6678   -1147.8363       0.1685  1303.6
12.3000      -1147.6054   -1147.8304       0.2250  1741.0
12.4000      -1147.6218   -1147.8319       0.2100  1625.0
12.5000      -1147.6747   -1147.8859       0.2113  1634.4
12.6000      -1147.6576   -1147.8194       0.1618  1252.1
12.7000      -1147.6110   -1147.7984       0.1874  1450.1
12.8000      -1147.6555   -1147.8247       0.1692  1309.0
12.9000      -1147.6777   -1147.8466       0.1688  1306.0
13.0000      -1147.6363   -1147.8371       0.2008  1553.3
13.1000      -1147.6687   -1147.8475       0.1788  1383.1
13.2000      -1147.6330   -1147.8127       0.1797  1390.0
13.3000      -1147.6281   -1147.8188       0.1907  1475.3
13.4000      -1147.6719   -1147.8452       0.1733  1340.4
13.5000      -1147.6460   -1147.8313       0.1852  1433.1
13.6000      -1147.6409   -1147.8409       0.2000  1547.1
13.7000      -1147.6525   -1147.8496       0.1971  1525.0
13.8000      -1147.6416   -1147.8459       0.2043  1580.9
13.9000      -1147.6249   -1147.8479       0.2231  1725.7
14.0000      -1147.6440   -1147.8527       0.2087  1614.8
14.1000      -1147.6222   -1147.8410       0.2189  1693.3
14.2000      -1147.6487   -1147.8330       0.1843  1426.1
14.3000      -1147.6799   -1147.8645       0.1847  1428.6
14.4000      -1147.6731   -1147.8381       0.1650  1276.2
14.5000      -1147.6298   -1147.8450       0.2151  1664.3
14.6000      -1147.6011   -1147.8154       0.2142  1657.2
14.7000      -1147.6283   -1147.8657       0.2374  1836.3
14.8000      -1147.6322   -1147.8519       0.2197  1699.8
14.9000      -1147.6417   -1147.8385       0.1969  1522.9
15.0000      -1147.6335   -1147.8353       0.2018  1561.4
15.1000      -1147.6484   -1147.8593       0.2110  1632.2
15.2000      -1147.6778   -1147.8652       0.1874  1449.7
15.3000      -1147.6688   -1147.8351       0.1663  1286.9
15.4000      -1147.6705   -1147.8516       0.1811  1401.3
15.5000      -1147.6758   -1147.8561       0.1803  1394.6
15.6000      -1147.6888   -1147.8373       0.1485  1148.8
15.7000      -1147.6551   -1147.8352       0.1801  1393.6
15.8000      -1147.6430   -1147.8330       0.1900  1469.7
15.9000      -1147.6614   -1147.8693       0.2079  1608.6
16.0000      -1147.6240   -1147.8270       0.2030  1570.2
16.1000      -1147.6326   -1147.8523       0.2197  1699.9
16.2000      -1147.6093   -1147.7850       0.1757  1359.2
16.3000      -1147.6485   -1147.8480       0.1995  1543.5
16.4000      -1147.6347   -1147.8340       0.1993  1541.7
16.5000      -1147.6604   -1147.8700       0.2095  1621.1
16.6000      -1147.6306   -1147.8261       0.1955  1512.1
16.7000      -1147.6218   -1147.8598       0.2380  1840.9
16.8000      -1147.6819   -1147.8439       0.1620  1253.2
16.9000      -1147.6883   -1147.8764       0.1881  1455.4
17.0000      -1147.6660   -1147.8688       0.2028  1569.2
17.1000      -1147.6900   -1147.8498       0.1598  1236.1
17.2000      -1147.6660   -1147.8578       0.1918  1484.0
17.3000      -1147.6829   -1147.8350       0.1522  1177.1
17.4000      -1147.6486   -1147.8480       0.1994  1542.9
17.5000      -1147.6569   -1147.8527       0.1958  1515.2
17.6000      -1147.6454   -1147.8263       0.1809  1399.6
17.7000      -1147.6422   -1147.8504       0.2082  1610.5
17.8000      -1147.6648   -1147.8644       0.1996  1544.4
17.9000      -1147.6395   -1147.8338       0.1943  1503.1
18.0000      -1147.6482   -1147.8326       0.1843  1426.2
18.1000      -1147.6567   -1147.8559       0.1992  1540.8
18.2000      -1147.6672   -1147.8430       0.1757  1359.4
18.3000      -1147.6570   -1147.8362       0.1792  1386.5
18.4000      -1147.6742   -1147.8507       0.1765  1365.2
18.5000      -1147.6877   -1147.8626       0.1749  1353.4
18.6000      -1147.6838   -1147.8576       0.1739  1345.0
18.7000      -1147.6528   -1147.8645       0.2117  1637.7
18.8000      -1147.6371   -1147.8428       0.2057  1591.7
18.9000      -1147.5984   -1147.8250       0.2266  1753.4
19.0000      -1147.6473   -1147.8664       0.2191  1694.9
19.1000      -1147.6389   -1147.8273       0.1884  1457.3
19.2000      -1147.6460   -1147.8463       0.2002  1549.2
19.3000      -1147.5939   -1147.7994       0.2055  1590.2
19.4000      -1147.6615   -1147.8362       0.1747  1351.5
19.5000      -1147.6605   -1147.8671       0.2066  1598.3
19.6000      -1147.6236   -1147.8454       0.2217  1715.5
19.7000      -1147.6431   -1147.8206       0.1775  1373.3
19.8000      -1147.6805   -1147.8575       0.1770  1369.3
19.9000      -1147.6663   -1147.8703       0.2040  1577.9
20.0000      -1147.6832   -1147.8549       0.1716  1327.8
20.1000      -1147.6812   -1147.8796       0.1984  1535.0
20.2000      -1147.6635   -1147.8579       0.1944  1503.8
20.3000      -1147.6807   -1147.8712       0.1904  1473.3
20.4000      -1147.6736   -1147.8429       0.1693  1309.9
20.5000      -1147.6518   -1147.8675       0.2157  1668.8
20.6000      -1147.6605   -1147.8329       0.1724  1333.7
20.7000      -1147.6863   -1147.8685       0.1822  1409.6
20.8000      -1147.6722   -1147.8403       0.1681  1300.8
20.9000      -1147.6330   -1147.8279       0.1949  1507.5
21.0000      -1147.6375   -1147.8430       0.2055  1589.7
21.1000      -1147.6431   -1147.8442       0.2011  1555.9
21.2000      -1147.6435   -1147.8258       0.1823  1410.0
21.3000      -1147.6509   -1147.8344       0.1835  1419.7
21.4000      -1147.6760   -1147.8618       0.1858  1437.3
21.5000      -1147.6090   -1147.8033       0.1943  1502.8
21.6000      -1147.6608   -1147.8532       0.1923  1487.8
