Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8391   -1148.0324       0.1933  1495.6
0.1000       -1147.6130   -1147.8288       0.2158  1669.6
0.2000       -1147.6731   -1147.8763       0.2031  1571.6
0.3000       -1147.5043   -1147.7897       0.2854  2208.1
0.4000       -1147.5515   -1147.7779       0.2264  1751.7
0.5000       -1147.5294   -1147.7860       0.2566  1985.2
0.6000       -1147.6283   -1147.8249       0.1966  1521.2
0.7000       -1147.5936   -1147.8290       0.2354  1820.9
0.8000       -1147.4607   -1147.7516       0.2909  2250.6
0.9000       -1147.5787   -1147.8027       0.2239  1732.5
1.0000       -1147.5737   -1147.7922       0.2185  1690.5
1.1000       -1147.4850   -1147.7332       0.2482  1920.2
1.2000       -1147.5720   -1147.8016       0.2296  1776.4
1.3000       -1147.5346   -1147.7680       0.2334  1805.8
1.4000       -1147.6042   -1147.8211       0.2169  1678.1
1.5000       -1147.6396   -1147.8165       0.1770  1369.2
1.6000       -1147.5952   -1147.8089       0.2137  1653.3
1.7000       -1147.6130   -1147.8586       0.2456  1899.9
1.8000       -1147.5880   -1147.8334       0.2454  1898.6
1.9000       -1147.5068   -1147.7573       0.2505  1937.8
2.0000       -1147.6037   -1147.8197       0.2160  1671.4
2.1000       -1147.5036   -1147.7749       0.2714  2099.4
2.2000       -1147.5023   -1147.7562       0.2539  1964.0
2.3000       -1147.5004   -1147.7804       0.2800  2166.0
2.4000       -1147.5630   -1147.7772       0.2142  1656.8
2.5000       -1147.5498   -1147.7787       0.2289  1771.0
2.6000       -1147.5830   -1147.7865       0.2035  1574.3
2.7000       -1147.5616   -1147.7673       0.2057  1591.3
2.8000       -1147.6323   -1147.8059       0.1735  1342.3
2.9000       -1147.5461   -1147.7880       0.2419  1871.6
3.0000       -1147.6166   -1147.8447       0.2281  1764.8
3.1000       -1147.6124   -1147.8637       0.2512  1943.7
3.2000       -1147.5507   -1147.7824       0.2317  1792.3
3.3000       -1147.5587   -1147.8113       0.2527  1954.6
3.4000       -1147.4815   -1147.7901       0.3086  2387.3
3.5000       -1147.4657   -1147.7567       0.2910  2251.4
3.6000       -1147.5902   -1147.8399       0.2497  1931.7
3.7000       -1147.5484   -1147.7953       0.2469  1909.9
3.8000       -1147.5515   -1147.7784       0.2269  1755.1
3.9000       -1147.5577   -1147.7737       0.2160  1671.4
4.0000       -1147.4816   -1147.7236       0.2420  1871.9
4.1000       -1147.5079   -1147.7728       0.2649  2049.0
4.2000       -1147.5606   -1147.7883       0.2276  1761.1
4.3000       -1147.5396   -1147.8044       0.2648  2048.6
4.4000       -1147.4177   -1147.6764       0.2587  2001.2
4.5000       -1147.5909   -1147.7720       0.1811  1400.8
4.6000       -1147.5605   -1147.8008       0.2402  1858.6
4.7000       -1147.6040   -1147.7821       0.1781  1378.0
4.8000       -1147.5277   -1147.7138       0.1861  1439.4
4.9000       -1147.6413   -1147.8261       0.1848  1429.9
5.0000       -1147.6485   -1147.8395       0.1909  1477.2
5.1000       -1147.5128   -1147.7882       0.2754  2130.6
5.2000       -1147.5477   -1147.7789       0.2311  1788.0
5.3000       -1147.5890   -1147.8097       0.2207  1707.2
5.4000       -1147.5443   -1147.8178       0.2736  2116.5
5.5000       -1147.4500   -1147.7339       0.2840  2196.8
5.6000       -1147.5291   -1147.7244       0.1953  1510.8
5.7000       -1147.4572   -1147.7308       0.2735  2116.2
5.8000       -1147.5680   -1147.8902       0.3222  2492.5
5.9000       -1147.5085   -1147.7408       0.2323  1797.1
6.0000       -1147.5033   -1147.7635       0.2602  2013.0
6.1000       -1147.4782   -1147.7352       0.2569  1987.8
6.2000       -1147.4869   -1147.7373       0.2504  1937.0
6.3000       -1147.5495   -1147.7958       0.2463  1905.4
6.4000       -1147.4919   -1147.7385       0.2467  1908.2
6.5000       -1147.5227   -1147.8032       0.2806  2170.6
6.6000       -1147.5107   -1147.7949       0.2842  2198.8
6.7000       -1147.5422   -1147.7935       0.2513  1943.9
6.8000       -1147.5367   -1147.7577       0.2210  1710.0
6.9000       -1147.6365   -1147.8115       0.1750  1353.6
7.0000       -1147.5686   -1147.8202       0.2516  1946.3
7.1000       -1147.5675   -1147.7922       0.2247  1738.3
7.2000       -1147.5906   -1147.7684       0.1777  1375.1
7.3000       -1147.5140   -1147.7960       0.2819  2181.3
7.4000       -1147.5198   -1147.7796       0.2598  2010.0
7.5000       -1147.6412   -1147.8486       0.2074  1604.9
7.6000       -1147.6029   -1147.8805       0.2776  2147.4
7.7000       -1147.5143   -1147.7502       0.2359  1825.1
7.8000       -1147.6453   -1147.8191       0.1738  1344.2
7.9000       -1147.6253   -1147.8664       0.2412  1865.7
8.0000       -1147.6734   -1147.8435       0.1700  1315.4
8.1000       -1147.5343   -1147.7847       0.2504  1937.0
8.2000       -1147.5279   -1147.7284       0.2006  1551.6
8.3000       -1147.5705   -1147.8246       0.2541  1965.8
8.4000       -1147.5676   -1147.7977       0.2301  1780.5
8.5000       -1147.5524   -1147.7491       0.1967  1521.6
8.6000       -1147.5474   -1147.7672       0.2199  1700.9
8.7000       -1147.5782   -1147.7964       0.2182  1688.0
8.8000       -1147.5001   -1147.7257       0.2257  1745.7
8.9000       -1147.4428   -1147.7370       0.2942  2275.7
9.0000       -1147.6169   -1147.8748       0.2579  1995.4
9.1000       -1147.6276   -1147.8318       0.2042  1580.0
9.2000       -1147.4934   -1147.7406       0.2472  1912.5
9.3000       -1147.4409   -1147.7420       0.3011  2329.1
9.4000       -1147.5359   -1147.7751       0.2392  1850.8
9.5000       -1147.5958   -1147.7821       0.1862  1440.8
9.6000       -1147.4987   -1147.8322       0.3335  2580.0
9.7000       -1147.5434   -1147.7602       0.2168  1676.9
9.8000       -1147.5944   -1147.8291       0.2347  1815.6
9.9000       -1147.6284   -1147.8108       0.1825  1411.6
10.0000      -1147.5608   -1147.8156       0.2548  1971.6
10.1000      -1147.4083   -1147.7440       0.3357  2597.3
10.2000      -1147.5072   -1147.7428       0.2356  1822.6
10.3000      -1147.5591   -1147.8140       0.2549  1972.3
10.4000      -1147.5450   -1147.7990       0.2540  1965.0
10.5000      -1147.5174   -1147.7749       0.2575  1992.2
10.6000      -1147.6470   -1147.8411       0.1941  1501.7
10.7000      -1147.5743   -1147.7967       0.2224  1720.5
10.8000      -1147.6262   -1147.8206       0.1944  1503.9
10.9000      -1147.5592   -1147.8043       0.2451  1896.1
11.0000      -1147.5536   -1147.7764       0.2228  1723.8
11.1000      -1147.5594   -1147.7782       0.2188  1692.7
11.2000      -1147.6401   -1147.8240       0.1839  1422.5
11.3000      -1147.6016   -1147.8194       0.2178  1685.3
11.4000      -1147.5823   -1147.7485       0.1662  1285.8
11.5000      -1147.5204   -1147.7693       0.2489  1925.5
11.6000      -1147.5716   -1147.7774       0.2058  1591.8
11.7000      -1147.5580   -1147.7756       0.2176  1683.2
11.8000      -1147.5557   -1147.7542       0.1985  1535.4
11.9000      -1147.5380   -1147.7696       0.2316  1792.0
12.0000      -1147.5829   -1147.8036       0.2207  1707.4
12.1000      -1147.5970   -1147.8430       0.2460  1903.0
12.2000      -1147.5711   -1147.8608       0.2897  2241.4
12.3000      -1147.5478   -1147.7841       0.2364  1828.5
12.4000      -1147.5210   -1147.7620       0.2410  1864.4
12.5000      -1147.5736   -1147.7311       0.1575  1218.5
12.6000      -1147.5101   -1147.7541       0.2440  1887.7
12.7000      -1147.4917   -1147.7919       0.3001  2321.9
12.8000      -1147.5623   -1147.8172       0.2549  1972.1
