Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8411   -1148.0324       0.1913  1479.9
0.1000       -1147.6401   -1147.8674       0.2273  1758.3
0.2000       -1147.5686   -1147.8344       0.2658  2056.4
0.3000       -1147.6066   -1147.8010       0.1944  1504.1
0.4000       -1147.5157   -1147.7446       0.2290  1771.3
0.5000       -1147.4940   -1147.7667       0.2728  2110.1
0.6000       -1147.5664   -1147.7689       0.2025  1566.3
0.7000       -1147.6133   -1147.8007       0.1875  1450.3
0.8000       -1147.5249   -1147.7701       0.2452  1896.9
0.9000       -1147.5979   -1147.8131       0.2153  1665.4
1.0000       -1147.5145   -1147.7643       0.2498  1932.2
1.1000       -1147.6350   -1147.8432       0.2082  1610.7
1.2000       -1147.6090   -1147.8493       0.2403  1858.7
1.3000       -1147.5389   -1147.7989       0.2600  2011.6
1.4000       -1147.5349   -1147.8105       0.2756  2132.5
1.5000       -1147.5953   -1147.7948       0.1995  1543.5
1.6000       -1147.5902   -1147.8496       0.2593  2006.2
1.7000       -1147.5008   -1147.7582       0.2574  1991.0
1.8000       -1147.4884   -1147.7507       0.2623  2029.3
1.9000       -1147.5459   -1147.8016       0.2558  1978.7
2.0000       -1147.5972   -1147.8033       0.2061  1594.5
2.1000       -1147.4862   -1147.7364       0.2502  1935.7
2.2000       -1147.5759   -1147.8217       0.2458  1901.7
2.3000       -1147.5011   -1147.6926       0.1915  1481.8
2.4000       -1147.4092   -1147.6771       0.2679  2072.5
2.5000       -1147.4877   -1147.7959       0.3082  2384.5
2.6000       -1147.5866   -1147.8079       0.2213  1711.8
2.7000       -1147.5793   -1147.8273       0.2480  1918.8
2.8000       -1147.6244   -1147.8460       0.2216  1714.4
2.9000       -1147.5757   -1147.8295       0.2538  1963.3
3.0000       -1147.5469   -1147.8079       0.2610  2019.0
3.1000       -1147.5777   -1147.8116       0.2339  1809.8
3.2000       -1147.6002   -1147.7899       0.1897  1467.8
3.3000       -1147.5664   -1147.7636       0.1972  1525.7
3.4000       -1147.5844   -1147.8340       0.2496  1931.3
3.5000       -1147.7039   -1147.8333       0.1293  1000.4
