Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8637   -1148.0275       0.1639  1267.7
0.1000       -1147.7045   -1147.8468       0.1423  1100.9
0.2000       -1147.6358   -1147.8385       0.2027  1567.9
0.3000       -1147.6448   -1147.8235       0.1787  1382.6
0.4000       -1147.6440   -1147.8367       0.1927  1491.0
0.5000       -1147.6623   -1147.8820       0.2197  1699.3
0.6000       -1147.6362   -1147.8690       0.2328  1800.8
0.7000       -1147.6087   -1147.8306       0.2219  1716.9
0.8000       -1147.5886   -1147.8020       0.2135  1651.5
0.9000       -1147.5745   -1147.8008       0.2263  1750.8
1.0000       -1147.6409   -1147.8596       0.2188  1692.6
1.1000       -1147.6333   -1147.8443       0.2110  1632.5
1.2000       -1147.6157   -1147.8429       0.2272  1757.7
1.3000       -1147.6278   -1147.8385       0.2108  1630.5
1.4000       -1147.5979   -1147.8312       0.2333  1804.7
1.5000       -1147.5993   -1147.8156       0.2164  1673.8
1.6000       -1147.5980   -1147.8389       0.2409  1863.9
1.7000       -1147.6429   -1147.8416       0.1987  1537.6
1.8000       -1147.6500   -1147.8616       0.2116  1637.1
1.9000       -1147.6299   -1147.8513       0.2214  1712.8
2.0000       -1147.6037   -1147.8274       0.2237  1730.5
2.1000       -1147.6299   -1147.8260       0.1961  1516.9
2.2000       -1147.6397   -1147.8658       0.2261  1748.9
2.3000       -1147.6249   -1147.8395       0.2145  1659.6
2.4000       -1147.6216   -1147.8551       0.2334  1806.0
2.5000       -1147.6355   -1147.8461       0.2106  1629.5
2.6000       -1147.6292   -1147.8148       0.1856  1436.1
2.7000       -1147.5990   -1147.8376       0.2385  1845.5
2.8000       -1147.5795   -1147.8484       0.2689  2080.3
2.9000       -1147.6667   -1147.8608       0.1941  1501.7
3.0000       -1147.6453   -1147.8356       0.1903  1472.1
3.1000       -1147.6535   -1147.8658       0.2123  1642.8
3.2000       -1147.6703   -1147.8790       0.2087  1614.8
3.3000       -1147.6356   -1147.8565       0.2209  1708.6
3.4000       -1147.6139   -1147.8109       0.1970  1524.1
3.5000       -1147.5994   -1147.8064       0.2070  1601.6
3.6000       -1147.6457   -1147.8256       0.1799  1391.8
3.7000       -1147.6321   -1147.8509       0.2189  1693.4
3.8000       -1147.6032   -1147.8359       0.2327  1800.4
3.9000       -1147.6307   -1147.8604       0.2296  1776.3
4.0000       -1147.6382   -1147.8421       0.2039  1577.6
4.1000       -1147.6232   -1147.8383       0.2151  1663.8
4.2000       -1147.6125   -1147.8212       0.2087  1614.8
4.3000       -1147.6112   -1147.8326       0.2214  1712.6
4.4000       -1147.6193   -1147.8444       0.2251  1741.4
4.5000       -1147.6368   -1147.8328       0.1960  1516.6
4.6000       -1147.6275   -1147.8211       0.1936  1497.5
4.7000       -1147.6299   -1147.8533       0.2234  1728.3
4.8000       -1147.6509   -1147.8560       0.2051  1586.6
4.9000       -1147.6235   -1147.8260       0.2026  1567.0
5.0000       -1147.6558   -1147.8611       0.2052  1587.9
5.1000       -1147.6419   -1147.8352       0.1934  1496.0
5.2000       -1147.6433   -1147.8393       0.1960  1516.2
5.3000       -1147.6336   -1147.8750       0.2414  1867.3
5.4000       -1147.6181   -1147.8315       0.2134  1650.8
5.5000       -1147.6436   -1147.8520       0.2084  1612.3
5.6000       -1147.5848   -1147.8084       0.2236  1729.8
5.7000       -1147.5823   -1147.8531       0.2707  2094.6
5.8000       -1147.5699   -1147.7840       0.2141  1656.2
5.9000       -1147.5239   -1147.7910       0.2671  2066.4
6.0000       -1147.5169   -1147.7807       0.2637  2040.4
6.1000       -1147.6090   -1147.8253       0.2163  1673.6
6.2000       -1147.6354   -1147.8169       0.1815  1404.2
6.3000       -1147.6356   -1147.7998       0.1642  1270.6
6.4000       -1147.6080   -1147.8237       0.2157  1669.0
6.5000       -1147.6052   -1147.8365       0.2313  1789.7
6.6000       -1147.5968   -1147.8046       0.2078  1607.6
6.7000       -1147.6249   -1147.8359       0.2110  1632.3
6.8000       -1147.5863   -1147.8055       0.2193  1696.5
6.9000       -1147.5887   -1147.8144       0.2257  1745.8
7.0000       -1147.6074   -1147.8316       0.2242  1734.4
7.1000       -1147.6136   -1147.8008       0.1872  1448.3
7.2000       -1147.6448   -1147.8480       0.2032  1572.1
7.3000       -1147.5908   -1147.8030       0.2123  1642.2
7.4000       -1147.6108   -1147.8192       0.2084  1612.5
7.5000       -1147.5759   -1147.7998       0.2239  1732.3
7.6000       -1147.6079   -1147.8056       0.1977  1529.5
7.7000       -1147.6398   -1147.8526       0.2128  1646.7
7.8000       -1147.6320   -1147.8552       0.2233  1727.2
7.9000       -1147.5798   -1147.8000       0.2202  1703.7
8.0000       -1147.6232   -1147.8327       0.2096  1621.2
8.1000       -1147.6043   -1147.8132       0.2089  1616.3
8.2000       -1147.6428   -1147.8797       0.2369  1832.7
8.3000       -1147.6446   -1147.8214       0.1769  1368.2
8.4000       -1147.6457   -1147.8274       0.1817  1406.0
8.5000       -1147.6149   -1147.8270       0.2122  1641.3
8.6000       -1147.5702   -1147.8047       0.2344  1813.7
8.7000       -1147.5836   -1147.8187       0.2350  1818.3
8.8000       -1147.5633   -1147.8090       0.2457  1900.5
8.9000       -1147.6089   -1147.8074       0.1985  1535.5
9.0000       -1147.5983   -1147.7929       0.1945  1504.9
9.1000       -1147.6083   -1147.8223       0.2140  1655.3
9.2000       -1147.6302   -1147.8262       0.1960  1516.3
9.3000       -1147.5873   -1147.7981       0.2107  1630.3
9.4000       -1147.5751   -1147.7957       0.2206  1706.4
9.5000       -1147.5556   -1147.7906       0.2350  1818.2
9.6000       -1147.5407   -1147.7729       0.2322  1796.6
9.7000       -1147.5537   -1147.7927       0.2389  1848.4
9.8000       -1147.5943   -1147.8195       0.2252  1742.4
9.9000       -1147.6179   -1147.8383       0.2204  1704.8
10.0000      -1147.5962   -1147.8599       0.2636  2039.5
10.1000      -1147.6215   -1147.8548       0.2332  1804.5
10.2000      -1147.6461   -1147.8580       0.2118  1638.7
10.3000      -1147.6570   -1147.8704       0.2135  1651.4
10.4000      -1147.6369   -1147.8338       0.1969  1523.2
10.5000      -1147.5658   -1147.8043       0.2386  1845.5
10.6000      -1147.5658   -1147.8025       0.2368  1831.8
10.7000      -1147.5408   -1147.7949       0.2542  1966.3
10.8000      -1147.5922   -1147.8130       0.2207  1707.7
10.9000      -1147.6021   -1147.8492       0.2471  1911.9
11.0000      -1147.6734   -1147.8613       0.1880  1454.1
11.1000      -1147.6714   -1147.8903       0.2189  1693.2
11.2000      -1147.5904   -1147.8361       0.2457  1900.7
11.3000      -1147.6703   -1147.8559       0.1856  1436.2
11.4000      -1147.6414   -1147.8370       0.1956  1513.3
11.5000      -1147.5978   -1147.8459       0.2481  1919.3
11.6000      -1147.5865   -1147.8380       0.2516  1946.2
11.7000      -1147.6271   -1147.8627       0.2356  1822.5
11.8000      -1147.6176   -1147.8399       0.2223  1719.7
11.9000      -1147.6348   -1147.8572       0.2224  1720.7
12.0000      -1147.6178   -1147.8368       0.2190  1694.5
12.1000      -1147.6466   -1147.8838       0.2373  1835.5
12.2000      -1147.6468   -1147.8880       0.2412  1866.4
12.3000      -1147.6587   -1147.8715       0.2129  1646.9
12.4000      -1147.5977   -1147.8286       0.2309  1786.1
12.5000      -1147.5640   -1147.8234       0.2594  2007.1
12.6000      -1147.6087   -1147.8316       0.2229  1724.6
12.7000      -1147.6133   -1147.8557       0.2424  1875.0
12.8000      -1147.6347   -1147.8546       0.2199  1701.2
12.9000      -1147.6425   -1147.8493       0.2068  1600.1
13.0000      -1147.6762   -1147.8761       0.1999  1546.5
13.1000      -1147.6249   -1147.8404       0.2155  1667.4
13.2000      -1147.6342   -1147.8290       0.1949  1507.6
13.3000      -1147.6137   -1147.8166       0.2029  1569.5
13.4000      -1147.6624   -1147.8530       0.1906  1474.9
13.5000      -1147.6068   -1147.8259       0.2191  1694.9
13.6000      -1147.5608   -1147.8236       0.2628  2033.5
13.7000      -1147.5710   -1147.8149       0.2438  1886.4
13.8000      -1147.5716   -1147.7886       0.2170  1678.4
13.9000      -1147.5902   -1147.8386       0.2484  1921.5
14.0000      -1147.6106   -1147.8226       0.2120  1640.0
14.1000      -1147.6134   -1147.8597       0.2464  1905.9
14.2000      -1147.6468   -1147.8559       0.2091  1617.7
14.3000      -1147.6365   -1147.8576       0.2211  1710.4
14.4000      -1147.6387   -1147.8532       0.2145  1659.6
14.5000      -1147.6446   -1147.8345       0.1899  1469.3
14.6000      -1147.5975   -1147.8362       0.2387  1846.3
14.7000      -1147.6443   -1147.8308       0.1865  1443.0
14.8000      -1147.6684   -1147.8857       0.2173  1680.7
14.9000      -1147.6749   -1147.8651       0.1902  1471.7
15.0000      -1147.6369   -1147.8389       0.2020  1562.8
15.1000      -1147.6189   -1147.8373       0.2185  1690.1
15.2000      -1147.6258   -1147.8259       0.2001  1547.9
15.3000      -1147.6656   -1147.8471       0.1814  1403.6
15.4000      -1147.6490   -1147.8405       0.1916  1482.0
15.5000      -1147.6062   -1147.8230       0.2168  1677.1
15.6000      -1147.5740   -1147.8246       0.2506  1939.1
15.7000      -1147.6290   -1147.8607       0.2317  1792.1
15.8000      -1147.5890   -1147.8047       0.2157  1668.9
15.9000      -1147.6110   -1147.8265       0.2155  1667.4
16.0000      -1147.5906   -1147.8212       0.2306  1784.1
16.1000      -1147.5734   -1147.8222       0.2488  1924.8
16.2000      -1147.6085   -1147.8184       0.2099  1624.0
16.3000      -1147.6507   -1147.8396       0.1889  1461.7
16.4000      -1147.6666   -1147.8608       0.1941  1501.9
16.5000      -1147.6279   -1147.8465       0.2186  1690.9
16.6000      -1147.6406   -1147.8457       0.2051  1586.6
16.7000      -1147.6255   -1147.8686       0.2430  1880.3
16.8000      -1147.6275   -1147.8479       0.2204  1705.4
16.9000      -1147.6452   -1147.8536       0.2084  1612.3
17.0000      -1147.5977   -1147.8437       0.2460  1903.2
17.1000      -1147.6429   -1147.8606       0.2177  1684.5
17.2000      -1147.6333   -1147.8470       0.2137  1653.0
17.3000      -1147.6548   -1147.8331       0.1784  1379.8
17.4000      -1147.6316   -1147.8472       0.2156  1667.7
17.5000      -1147.6194   -1147.8324       0.2130  1647.5
17.6000      -1147.6334   -1147.8487       0.2153  1665.3
17.7000      -1147.6303   -1147.8507       0.2204  1705.3
17.8000      -1147.6155   -1147.8210       0.2055  1589.6
17.9000      -1147.5886   -1147.8153       0.2267  1754.1
18.0000      -1147.5796   -1147.8296       0.2500  1933.7
18.1000      -1147.6013   -1147.8430       0.2417  1870.1
18.2000      -1147.6300   -1147.8408       0.2108  1630.8
18.3000      -1147.6560   -1147.8658       0.2099  1623.6
18.4000      -1147.6142   -1147.8369       0.2227  1723.3
18.5000      -1147.6512   -1147.8525       0.2013  1557.5
18.6000      -1147.6673   -1147.8373       0.1700  1315.0
18.7000      -1147.6199   -1147.8263       0.2064  1596.5
18.8000      -1147.5979   -1147.7998       0.2020  1562.6
18.9000      -1147.6397   -1147.8573       0.2175  1682.7
19.0000      -1147.6229   -1147.8249       0.2020  1563.0
19.1000      -1147.6424   -1147.8550       0.2126  1644.7
19.2000      -1147.6119   -1147.8547       0.2428  1878.2
19.3000      -1147.6467   -1147.8417       0.1950  1508.6
19.4000      -1147.6460   -1147.8368       0.1909  1476.5
19.5000      -1147.6514   -1147.8497       0.1983  1534.5
19.6000      -1147.6111   -1147.8460       0.2349  1817.2
19.7000      -1147.6721   -1147.8459       0.1738  1344.9
19.8000      -1147.6460   -1147.8417       0.1957  1514.1
19.9000      -1147.6533   -1147.8470       0.1937  1498.7
20.0000      -1147.6563   -1147.8648       0.2085  1612.7
20.1000      -1147.6681   -1147.8754       0.2073  1603.4
20.2000      -1147.6473   -1147.8458       0.1985  1535.4
20.3000      -1147.6437   -1147.8591       0.2154  1666.4
20.4000      -1147.6406   -1147.8740       0.2334  1805.7
20.5000      -1147.6264   -1147.8309       0.2045  1582.1
20.6000      -1147.5967   -1147.8039       0.2072  1602.9
20.7000      -1147.5549   -1147.8175       0.2626  2031.8
20.8000      -1147.5560   -1147.7778       0.2218  1716.1
20.9000      -1147.6116   -1147.8470       0.2354  1821.4
21.0000      -1147.5974   -1147.8241       0.2268  1754.3
21.1000      -1147.6691   -1147.8714       0.2023  1565.1
21.2000      -1147.7140   -1147.8822       0.1683  1301.7
21.3000      -1147.6669   -1147.8552       0.1883  1456.7
21.4000      -1147.6222   -1147.8584       0.2362  1826.9
21.5000      -1147.6385   -1147.8319       0.1935  1496.8
21.6000      -1147.6093   -1147.8460       0.2367  1831.2
21.7000      -1147.6364   -1147.8378       0.2014  1558.3
21.8000      -1147.5833   -1147.8345       0.2511  1942.6
21.9000      -1147.5959   -1147.8174       0.2214  1713.1
22.0000      -1147.6160   -1147.8581       0.2421  1872.8
22.1000      -1147.6129   -1147.8261       0.2132  1649.3
22.2000      -1147.6514   -1147.8505       0.1991  1540.3
22.3000      -1147.6100   -1147.8218       0.2118  1638.6
22.4000      -1147.6258   -1147.8343       0.2085  1612.7
22.5000      -1147.6125   -1147.8350       0.2225  1721.7
22.6000      -1147.6352   -1147.8388       0.2036  1575.2
22.7000      -1147.6341   -1147.8337       0.1996  1544.3
22.8000      -1147.6503   -1147.8746       0.2243  1735.3
22.9000      -1147.6457   -1147.8881       0.2423  1874.8
23.0000      -1147.6568   -1147.8613       0.2045  1581.9
23.1000      -1147.6415   -1147.8437       0.2022  1563.9
23.2000      -1147.6764   -1147.8500       0.1736  1343.3
23.3000      -1147.6321   -1147.8541       0.2219  1717.1
23.4000      -1147.6325   -1147.8470       0.2145  1659.2
23.5000      -1147.6509   -1147.8469       0.1960  1516.2
23.6000      -1147.6053   -1147.8346       0.2293  1773.7
23.7000      -1147.6055   -1147.8582       0.2527  1955.2
23.8000      -1147.5885   -1147.8097       0.2212  1710.9
23.9000      -1147.5849   -1147.8369       0.2520  1949.2
24.0000      -1147.5957   -1147.8217       0.2259  1748.0
24.1000      -1147.6012   -1147.8121       0.2109  1631.3
24.2000      -1147.6180   -1147.8536       0.2356  1822.8
24.3000      -1147.6477   -1147.8491       0.2013  1557.5
24.4000      -1147.6567   -1147.8494       0.1927  1490.7
24.5000      -1147.6353   -1147.8337       0.1984  1534.7
24.6000      -1147.6317   -1147.8181       0.1864  1442.4
24.7000      -1147.5736   -1147.8490       0.2754  2130.9
24.8000      -1147.5968   -1147.8267       0.2300  1779.0
24.9000      -1147.6229   -1147.8663       0.2434  1882.9
25.0000      -1147.6013   -1147.8496       0.2483  1921.3
25.1000      -1147.6602   -1147.8559       0.1957  1514.3
25.2000      -1147.6655   -1147.8586       0.1931  1494.0
25.3000      -1147.6375   -1147.8138       0.1763  1363.6
25.4000      -1147.6120   -1147.8270       0.2150  1663.4
25.5000      -1147.5927   -1147.8211       0.2284  1767.3
25.6000      -1147.5807   -1147.7843       0.2037  1575.6
25.7000      -1147.6437   -1147.8699       0.2262  1749.9
25.8000      -1147.6330   -1147.8489       0.2159  1670.3
25.9000      -1147.5985   -1147.8232       0.2247  1738.2
26.0000      -1147.6871   -1147.8739       0.1869  1445.6
26.1000      -1147.6404   -1147.8453       0.2049  1585.2
26.2000      -1147.6487   -1147.8796       0.2309  1786.7
26.3000      -1147.7000   -1147.8834       0.1834  1418.8
26.4000      -1147.6400   -1147.8477       0.2077  1607.0
26.5000      -1147.5954   -1147.8338       0.2385  1844.8
26.6000      -1147.6339   -1147.8224       0.1886  1459.0
26.7000      -1147.6320   -1147.8313       0.1992  1541.4
26.8000      -1147.6022   -1147.8188       0.2165  1675.3
26.9000      -1147.6568   -1147.8550       0.1982  1533.6
27.0000      -1147.6467   -1147.8504       0.2037  1575.6
27.1000      -1147.6284   -1147.8633       0.2349  1817.6
27.2000      -1147.6423   -1147.8635       0.2212  1711.4
27.3000      -1147.6311   -1147.8253       0.1942  1502.3
27.4000      -1147.6308   -1147.8635       0.2326  1799.9
27.5000      -1147.6261   -1147.8447       0.2186  1690.9
27.6000      -1147.6145   -1147.8379       0.2233  1727.9
27.7000      -1147.5961   -1147.8013       0.2052  1587.3
27.8000      -1147.6719   -1147.8604       0.1886  1458.7
27.9000      -1147.6449   -1147.8368       0.1919  1484.8
28.0000      -1147.6646   -1147.8475       0.1829  1415.0
28.1000      -1147.6457   -1147.8542       0.2085  1613.1
28.2000      -1147.6181   -1147.8175       0.1994  1543.0
28.3000      -1147.6092   -1147.8469       0.2378  1839.3
28.4000      -1147.6153   -1147.8646       0.2492  1928.2
28.5000      -1147.6406   -1147.8601       0.2195  1698.4
28.6000      -1147.6725   -1147.8647       0.1922  1487.1
