Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.8760   -1148.0324       0.1564  1209.8
0.1000       -1147.8321   -1147.9251       0.0930   719.1
0.2000       -1147.7576   -1147.9283       0.1707  1320.7
0.3000       -1147.7898   -1147.9054       0.1157   894.7
0.4000       -1147.8069   -1147.9118       0.1049   811.8
0.5000       -1147.7993   -1147.8889       0.0896   693.1
0.6000       -1147.7977   -1147.9029       0.1052   814.1
0.7000       -1147.8271   -1147.9409       0.1138   880.1
0.8000       -1147.7789   -1147.8716       0.0927   717.1
0.9000       -1147.7619   -1147.8944       0.1325  1025.2
1.0000       -1147.7637   -1147.8810       0.1173   907.4
1.1000       -1147.7255   -1147.9227       0.1972  1525.8
1.2000       -1147.7594   -1147.9252       0.1657  1282.1
1.3000       -1147.7558   -1147.8928       0.1370  1059.7
1.4000       -1147.7560   -1147.9009       0.1448  1120.4
1.5000       -1147.7600   -1147.8993       0.1393  1077.8
1.6000       -1147.7772   -1147.9135       0.1362  1054.1
1.7000       -1147.7368   -1147.8760       0.1392  1076.9
1.8000       -1147.7529   -1147.8812       0.1283   992.9
1.9000       -1147.6713   -1147.8798       0.2084  1612.4
2.0000       -1147.7385   -1147.8834       0.1450  1121.4
2.1000       -1147.7584   -1147.9047       0.1463  1131.7
2.2000       -1147.7246   -1147.8996       0.1750  1354.1
2.3000       -1147.7647   -1147.9068       0.1421  1099.2
2.4000       -1147.7136   -1147.8709       0.1574  1217.3
2.5000       -1147.7753   -1147.9180       0.1427  1104.3
2.6000       -1147.7542   -1147.8930       0.1388  1073.8
2.7000       -1147.7559   -1147.8946       0.1387  1073.2
2.8000       -1147.7656   -1147.8837       0.1181   913.7
2.9000       -1147.6869   -1147.8510       0.1641  1269.5
3.0000       -1147.7294   -1147.8475       0.1181   913.5
3.1000       -1147.7247   -1147.8691       0.1444  1116.9
3.2000       -1147.7568   -1147.8930       0.1363  1054.2
3.3000       -1147.7600   -1147.8931       0.1331  1029.6
3.4000       -1147.6856   -1147.8350       0.1494  1155.7
3.5000       -1147.7494   -1147.9124       0.1630  1261.0
3.6000       -1147.7782   -1147.8952       0.1170   905.1
3.7000       -1147.7586   -1147.8803       0.1217   941.4
3.8000       -1147.7465   -1147.8707       0.1242   961.2
3.9000       -1147.6842   -1147.8774       0.1932  1494.6
4.0000       -1147.7324   -1147.8797       0.1472  1139.0
4.1000       -1147.7170   -1147.8730       0.1560  1207.0
4.2000       -1147.7719   -1147.9072       0.1353  1046.6
4.3000       -1147.7667   -1147.8934       0.1267   980.4
4.4000       -1147.8026   -1147.9158       0.1132   875.4
4.5000       -1147.7322   -1147.8905       0.1583  1225.0
4.6000       -1147.7244   -1147.8876       0.1632  1262.6
4.7000       -1147.7409   -1147.8669       0.1259   974.1
4.8000       -1147.7161   -1147.8873       0.1711  1323.9
4.9000       -1147.8055   -1147.9223       0.1168   903.3
5.0000       -1147.7984   -1147.9222       0.1238   957.6
5.1000       -1147.7503   -1147.8769       0.1266   979.4
5.2000       -1147.7062   -1147.8375       0.1313  1015.8
5.3000       -1147.7564   -1147.9203       0.1640  1268.6
5.4000       -1147.7821   -1147.9061       0.1240   959.3
5.5000       -1147.7449   -1147.9174       0.1725  1334.9
5.6000       -1147.7947   -1147.9043       0.1097   848.5
5.7000       -1147.7816   -1147.8958       0.1142   883.5
5.8000       -1147.7038   -1147.8665       0.1627  1258.3
5.9000       -1147.8006   -1147.9099       0.1093   845.4
6.0000       -1147.7638   -1147.9053       0.1415  1094.4
6.1000       -1147.7685   -1147.8921       0.1236   956.4
6.2000       -1147.7691   -1147.9024       0.1333  1031.6
6.3000       -1147.7828   -1147.9255       0.1428  1104.7
6.4000       -1147.7423   -1147.8849       0.1426  1103.1
6.5000       -1147.7365   -1147.8695       0.1330  1028.7
6.6000       -1147.7679   -1147.8868       0.1189   919.8
6.7000       -1147.7324   -1147.8667       0.1343  1039.2
6.8000       -1147.7417   -1147.8825       0.1408  1089.1
6.9000       -1147.7440   -1147.8566       0.1126   871.1
7.0000       -1147.7478   -1147.8697       0.1219   943.0
7.1000       -1147.7899   -1147.9218       0.1319  1020.7
7.2000       -1147.7323   -1147.8571       0.1248   965.7
7.3000       -1147.7482   -1147.8728       0.1246   963.9
7.4000       -1147.7547   -1147.8774       0.1228   949.8
7.5000       -1147.7742   -1147.9128       0.1386  1071.9
7.6000       -1147.6953   -1147.8693       0.1740  1346.1
7.7000       -1147.7632   -1147.9084       0.1452  1123.0
