Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.7513   -1148.0324       0.2812  2175.3
0.1000       -1147.7022   -1147.8876       0.1854  1434.5
0.2000       -1147.5623   -1147.7943       0.2320  1794.9
0.3000       -1147.5815   -1147.8333       0.2518  1947.6
0.4000       -1147.5924   -1147.7952       0.2028  1569.0
0.5000       -1147.6072   -1147.8161       0.2090  1616.5
0.6000       -1147.5446   -1147.7737       0.2291  1772.5
0.7000       -1147.6179   -1147.7811       0.1632  1262.6
0.8000       -1147.6235   -1147.8223       0.1988  1537.6
0.9000       -1147.6449   -1147.8683       0.2234  1728.5
1.0000       -1147.5979   -1147.7969       0.1990  1539.6
1.1000       -1147.7116   -1147.8645       0.1529  1182.5
1.2000       -1147.5907   -1147.7919       0.2012  1556.3
1.3000       -1147.6265   -1147.8173       0.1908  1476.0
1.4000       -1147.6073   -1147.8158       0.2085  1613.2
1.5000       -1147.6010   -1147.8382       0.2372  1835.0
1.6000       -1147.5322   -1147.7675       0.2353  1820.3
1.7000       -1147.4815   -1147.7983       0.3168  2450.9
1.8000       -1147.5065   -1147.7148       0.2084  1611.9
1.9000       -1147.5819   -1147.8254       0.2435  1883.4
2.0000       -1147.5576   -1147.8025       0.2448  1894.2
2.1000       -1147.5986   -1147.7715       0.1730  1338.1
2.2000       -1147.6125   -1147.8296       0.2171  1679.7
2.3000       -1147.5583   -1147.8216       0.2633  2037.0
2.4000       -1147.6688   -1147.8622       0.1934  1496.4
2.5000       -1147.5334   -1147.8235       0.2901  2244.6
2.6000       -1147.6145   -1147.8084       0.1939  1500.2
2.7000       -1147.6896   -1147.8662       0.1766  1366.0
2.8000       -1147.6161   -1147.8048       0.1888  1460.3
2.9000       -1147.5050   -1147.7890       0.2839  2196.5
3.0000       -1147.4672   -1147.7740       0.3068  2373.8
3.1000       -1147.5929   -1147.7857       0.1927  1491.0
3.2000       -1147.6070   -1147.8060       0.1991  1540.1
3.3000       -1147.5728   -1147.7757       0.2029  1569.6
3.4000       -1147.6409   -1147.8350       0.1941  1501.4
3.5000       -1147.5697   -1147.7704       0.2008  1553.1
3.6000       -1147.5161   -1147.8001       0.2841  2197.5
3.7000       -1147.5631   -1147.7883       0.2252  1742.3
3.8000       -1147.5819   -1147.8196       0.2376  1838.2
3.9000       -1147.6132   -1147.8310       0.2178  1685.2
4.0000       -1147.5816   -1147.8276       0.2460  1903.1
4.1000       -1147.5419   -1147.8169       0.2750  2127.4
4.2000       -1147.4408   -1147.7177       0.2769  2142.1
4.3000       -1147.6141   -1147.8024       0.1883  1456.8
4.4000       -1147.6017   -1147.8116       0.2099  1623.9
4.5000       -1147.6136   -1147.8696       0.2560  1980.5
4.6000       -1147.6023   -1147.8864       0.2842  2198.3
4.7000       -1147.5777   -1147.7771       0.1993  1542.1
4.8000       -1147.5691   -1147.8105       0.2413  1867.1
4.9000       -1147.5770   -1147.8316       0.2546  1969.6
5.0000       -1147.6368   -1147.8267       0.1899  1469.2
5.1000       -1147.6383   -1147.8651       0.2267  1754.0
5.2000       -1147.6728   -1147.8061       0.1333  1031.6
5.3000       -1147.6119   -1147.7901       0.1782  1378.6
5.4000       -1147.5966   -1147.7678       0.1712  1324.8
5.5000       -1147.5985   -1147.8047       0.2062  1595.0
5.6000       -1147.5545   -1147.7297       0.1752  1355.6
5.7000       -1147.5870   -1147.8253       0.2383  1843.5
5.8000       -1147.6084   -1147.8734       0.2650  2050.1
5.9000       -1147.6182   -1147.8330       0.2148  1661.9
6.0000       -1147.5480   -1147.7577       0.2096  1621.7
6.1000       -1147.5350   -1147.7867       0.2517  1947.3
6.2000       -1147.5047   -1147.7987       0.2940  2274.5
6.3000       -1147.4784   -1147.7380       0.2596  2008.4
6.4000       -1147.5135   -1147.7247       0.2112  1634.3
6.5000       -1147.4891   -1147.7509       0.2618  2025.0
6.6000       -1147.5124   -1147.7737       0.2612  2020.9
6.7000       -1147.5406   -1147.7938       0.2533  1959.4
6.8000       -1147.6251   -1147.8216       0.1965  1520.2
6.9000       -1147.6877   -1147.8753       0.1876  1451.2
7.0000       -1147.5752   -1147.8254       0.2501  1935.2
7.1000       -1147.6035   -1147.8240       0.2205  1705.8
7.2000       -1147.6311   -1147.8477       0.2166  1675.8
7.3000       -1147.6157   -1147.8295       0.2137  1653.5
7.4000       -1147.6510   -1147.8116       0.1607  1242.9
7.5000       -1147.6652   -1147.8807       0.2155  1667.1
7.6000       -1147.6734   -1147.8946       0.2212  1711.0
7.7000       -1147.6177   -1147.8011       0.1834  1419.2
7.8000       -1147.5157   -1147.7344       0.2187  1691.9
