Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000       -1147.9067   -1148.0324       0.1258   972.9
0.1000       -1147.8052   -1147.9144       0.1092   844.9
0.2000       -1147.7058   -1147.8833       0.1775  1373.4
0.3000       -1147.7602   -1147.8630       0.1028   795.3
0.4000       -1147.7586   -1147.8841       0.1255   970.6
0.5000       -1147.7121   -1147.8377       0.1256   971.8
0.6000       -1147.7779   -1147.9015       0.1236   956.0
0.7000       -1147.7177   -1147.8973       0.1796  1389.6
0.8000       -1147.6493   -1147.7950       0.1457  1127.5
0.9000       -1147.7095   -1147.8119       0.1024   792.2
1.0000       -1147.6807   -1147.8647       0.1840  1423.8
1.1000       -1147.6548   -1147.8522       0.1975  1527.6
1.2000       -1147.7283   -1147.8765       0.1481  1145.9
1.3000       -1147.7065   -1147.8534       0.1468  1136.1
1.4000       -1147.7297   -1147.8867       0.1570  1215.0
1.5000       -1147.7103   -1147.8646       0.1542  1193.1
1.6000       -1147.7114   -1147.8609       0.1495  1156.7
1.7000       -1147.7545   -1147.8846       0.1301  1006.2
1.8000       -1147.7680   -1147.8872       0.1192   921.8
1.9000       -1147.7403   -1147.8710       0.1306  1010.5
2.0000       -1147.7690   -1147.9062       0.1373  1061.9
2.1000       -1147.6652   -1147.8945       0.2293  1774.2
2.2000       -1147.6947   -1147.8450       0.1503  1163.0
2.3000       -1147.6837   -1147.8585       0.1748  1352.2
2.4000       -1147.7323   -1147.8622       0.1299  1004.8
2.5000       -1147.7330   -1147.8820       0.1490  1153.0
2.6000       -1147.7905   -1147.8997       0.1093   845.3
2.7000       -1147.7225   -1147.9089       0.1863  1441.6
2.8000       -1147.7600   -1147.8769       0.1168   903.7
2.9000       -1147.6971   -1147.8825       0.1854  1434.0
3.0000       -1147.7561   -1147.8967       0.1407  1088.3
3.1000       -1147.6871   -1147.8527       0.1656  1281.1
3.2000       -1147.6629   -1147.8477       0.1847  1429.2
3.3000       -1147.7538   -1147.8751       0.1213   938.3
3.4000       -1147.7321   -1147.8996       0.1675  1295.5
3.5000       -1147.7427   -1147.9205       0.1779  1376.0
3.6000       -1147.7198   -1147.8453       0.1256   971.4
3.7000       -1147.7097   -1147.8287       0.1190   920.8
3.8000       -1147.6483   -1147.8189       0.1706  1320.1
3.9000       -1147.6233   -1147.8179       0.1946  1505.8
4.0000       -1147.6867   -1147.8165       0.1298  1004.3
4.1000       -1147.6981   -1147.8885       0.1904  1472.9
4.2000       -1147.7059   -1147.8374       0.1315  1017.4
4.3000       -1147.7354   -1147.8761       0.1407  1088.8
4.4000       -1147.6923   -1147.8482       0.1558  1205.6
4.5000       -1147.6913   -1147.8527       0.1615  1249.0
4.6000       -1147.6313   -1147.8449       0.2136  1652.5
4.7000       -1147.6734   -1147.8474       0.1739  1345.7
4.8000       -1147.7049   -1147.8381       0.1332  1030.5
4.9000       -1147.7287   -1147.8838       0.1551  1199.8
5.0000       -1147.7453   -1147.8639       0.1186   917.3
5.1000       -1147.7370   -1147.8516       0.1145   886.1
5.2000       -1147.7171   -1147.8585       0.1414  1094.1
5.3000       -1147.6955   -1147.8612       0.1657  1281.7
5.4000       -1147.6621   -1147.8336       0.1715  1327.0
5.5000       -1147.7684   -1147.8969       0.1285   994.3
5.6000       -1147.7456   -1147.8726       0.1270   982.3
5.7000       -1147.6542   -1147.8265       0.1722  1332.5
5.8000       -1147.7745   -1147.9172       0.1427  1103.8
5.9000       -1147.7526   -1147.9030       0.1504  1163.5
6.0000       -1147.7734   -1147.9021       0.1287   996.0
6.1000       -1147.7589   -1147.8906       0.1317  1018.5
6.2000       -1147.7204   -1147.8527       0.1323  1023.3
6.3000       -1147.7102   -1147.8632       0.1531  1184.3
6.4000       -1147.7099   -1147.8701       0.1602  1239.4
6.5000       -1147.6945   -1147.8918       0.1973  1526.1
6.6000       -1147.6512   -1147.8280       0.1768  1368.0
6.7000       -1147.7350   -1147.8749       0.1400  1082.8
6.8000       -1147.7105   -1147.8573       0.1468  1135.4
6.9000       -1147.6434   -1147.7998       0.1565  1210.4
7.0000       -1147.6812   -1147.8544       0.1732  1340.1
7.1000       -1147.6428   -1147.8351       0.1923  1487.5
7.2000       -1147.6824   -1147.8376       0.1552  1200.7
7.3000       -1147.6576   -1147.8124       0.1549  1198.1
7.4000       -1147.7218   -1147.8546       0.1328  1027.4
7.5000       -1147.7384   -1147.8993       0.1609  1244.6
7.6000       -1147.6589   -1147.8508       0.1919  1484.4
7.7000       -1147.6939   -1147.8485       0.1545  1195.6
7.8000       -1147.6796   -1147.8180       0.1384  1070.9
7.9000       -1147.7041   -1147.8744       0.1704  1318.0
8.0000       -1147.6928   -1147.8902       0.1973  1526.6
8.1000       -1147.7789   -1147.9122       0.1333  1031.4
